5	5	1
8	6	1
2	5	1
8	4	1
2	5	1
6	3	2
4	8	2
4	3	2
5	4	2
6	4	2
3	3	3
7	2	3
2	7	3
8	6	3
8	5	3
6	8	4
3	4	4
7	5	4
3	2	4
5	8	4
4	5	5
2	3	5
6	8	5
8	3	5
2	6	5
4	2	6
2	2	6
8	4	6
8	8	6
7	2	6
2	3	7
6	5	7
7	2	7
4	2	7
4	4	7
4	4	8
8	2	8
3	2	8
5	6	8
3	3	8
5	3	9
3	4	9
7	7	9
2	2	9
4	3	9
7	2	10
5	4	10
6	8	10
7	4	10
8	3	10
8	7	11
6	7	11
3	4	11
6	3	11
2	2	11
6	4	12
8	8	12
6	8	12
7	3	12
5	4	12
2	3	13
4	3	13
3	2	13
7	5	13
5	7	13
8	5	14
3	8	14
7	8	14
4	7	14
8	2	14
6	5	15
8	6	15
6	4	15
8	7	15
6	3	15
3	5	16
7	3	16
2	7	16
5	5	16
5	6	16
4	8	17
2	2	17
8	5	17
6	3	17
5	8	17
8	6	18
7	5	18
6	5	18
6	6	18
2	4	18
3	4	19
2	5	19
5	7	19
5	3	19
6	7	19
4	2	20
5	7	20
8	2	20
8	2	20
7	5	20
7	8	21
2	2	21
2	6	21
6	7	21
6	8	21
2	7	22
8	4	22
3	8	22
4	3	22
2	3	22
3	3	23
2	3	23
3	5	23
2	5	23
7	5	23
2	7	24
6	6	24
6	7	24
2	6	24
6	2	24
7	8	25
2	7	25
8	6	25
8	2	25
8	6	25
4	4	26
7	2	26
3	6	26
3	5	26
4	6	26
6	2	27
3	8	27
8	2	27
8	4	27
7	4	27
2	3	28
2	7	28
4	4	28
3	2	28
8	8	28
5	3	29
2	8	29
8	4	29
4	3	29
7	6	29
5	2	30
2	6	30
6	4	30
8	2	30
4	4	30
5	7	31
7	8	31
5	6	31
7	4	31
3	4	31
4	7	32
2	4	32
6	2	32
8	3	32
8	8	32
3	4	33
7	5	33
6	3	33
5	6	33
2	8	33
2	2	34
2	3	34
5	3	34
2	6	34
8	5	34
4	6	35
7	2	35
5	7	35
8	7	35
4	6	35
5	3	36
2	3	36
3	2	36
6	8	36
6	7	36
6	6	37
8	6	37
8	4	37
2	2	37
3	2	37
4	4	38
5	3	38
7	5	38
2	4	38
4	7	38
5	7	39
3	7	39
8	8	39
8	6	39
6	4	39
5	7	40
6	6	40
5	6	40
3	6	40
3	4	40
7	5	41
3	8	41
2	2	41
8	2	41
2	7	41
6	7	42
6	2	42
2	4	42
7	6	42
3	5	42
8	2	43
6	6	43
5	8	43
4	5	43
6	4	43
7	3	44
2	4	44
3	4	44
4	6	44
2	7	44
2	8	45
4	8	45
2	4	45
6	7	45
4	6	45
3	4	46
5	6	46
4	2	46
7	7	46
2	8	46
4	8	47
